Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173420377,35049.43406,1080,,12/31/2019
8806173433162,61336.50961,9,,12/31/2019
8806173433315,70098.86813,16,,12/31/2019
8806173434930,238973.4141,16,,12/31/2019
8806173440955,122673.0192,16,,12/31/2019
8806173433254,70098.86813,16,,12/31/2019
8806173433728,199144.5117,24,,12/31/2019
8806173433742,262870.7555,24,,12/31/2019
8806173435999,126655.9095,10,,12/31/2019
8806173436538,214279.4946,16,,12/31/2019
8806173440306,62929.6657,16,,12/31/2019
8806173436484,78861.22664,13,,12/31/2019
8806173433278,70098.86813,16,,12/31/2019
8806173434824,95589.36563,15,,12/31/2019
8806173435210,150553.2509,16,,12/31/2019
8806173436705,198347.9337,16,,12/31/2019
8806173434381,86827.00711,16,,12/31/2019
8806173416929,7576.342313,65,,12/31/2019
8806173416998,7576.342313,65,,12/31/2019
8806173418015,78861.22664,24,,12/31/2019
8806173424450,27880.23164,100,,12/31/2019
8806173427307,95589.36563,18,,12/31/2019
8806173427451,55760.46328,5,,12/31/2019
8806173422067,54963.88523,22,,12/31/2019
8806173418978,47794.68281,24,,12/31/2019
8806173426409,99572.25586,24,,12/31/2019
8806173426423,99572.25586,24,,12/31/2019
8806173414123,43811.79258,24,,12/31/2019
8806173425464,118690.129,24,,12/31/2019
8806173436149,118690.129,16,,12/31/2019
8806173439065,86827.00711,16,,12/31/2019
8806173434114,7965.780469,8,,12/31/2019
8806173435159,31863.12188,8,,12/31/2019
8806173433674,7965.780469,8,,12/31/2019
8806173433520,19914.45117,4,,12/31/2019
8806173431441,955893.6563,10,,12/31/2019
8806173437153,15542.12278,80,,12/31/2019
8806173437191,15542.12278,80,,12/31/2019
8806173434367,70098.86813,16,,12/31/2019
8806173437863,150553.2509,16,,12/31/2019
8806173437238,15542.12278,80,,12/31/2019
8806173436699,214279.4946,16,,12/31/2019
8806173425808,23897.34141,80,,12/31/2019
8806173420018,525741.5109,16,,12/31/2019
8806173429202,78861.22664,17,,12/31/2019
8806173425853,302699.6578,24,,12/31/2019
8806173425860,302699.6578,24,,12/31/2019
8806173420025,438117.9258,24,,12/31/2019
8806173428823,102758.568,24,,12/31/2019
8806173436668,182416.3727,16,,12/31/2019
8806173430765,26044.63875,8,,12/31/2019
8806173430789,55760.46328,5,,12/31/2019
8806173432356,27880.23164,8,,12/31/2019
8806173433827,23897.34141,8,,12/31/2019
8806173433957,14338.40484,8,,12/31/2019
8806173433964,11948.6707,8,,12/31/2019
8806173434107,11948.6707,8,,12/31/2019
8806173431458,7169.202422,200,,12/31/2019
8806173432936,46998.10477,20,,12/31/2019
8806173437573,159315.6094,16,,12/31/2019
8806173434398,86827.00711,16,,12/31/2019
8806173435005,102758.568,16,,12/31/2019
8806173440047,78861.22664,16,,12/31/2019
8806173438259,118690.129,13,,12/31/2019
8806173434947,102758.568,16,,12/31/2019
8806173440894,126655.9095,17,,12/31/2019
8806173440962,100368.8339,16,,12/31/2019
8806173437894,198347.9337,16,,12/31/2019
8806173433360,95589.36563,24,,12/31/2019
8806173437207,15542.12278,80,,12/31/2019
8806173433599,78861.22664,13,,12/31/2019
8806173433605,75432.47766,13,,12/31/2019
8806173437795,262870.7555,16,,12/31/2019
8806173436774,70098.86813,16,,12/31/2019
8806173434299,238973.4141,16,,12/31/2019
8806173433735,199144.5117,24,,12/31/2019
8806173436675,182416.3727,16,,12/31/2019
8806173436682,198347.9337,16,,12/31/2019
8806173438808,78861.22664,14,,12/31/2019
8806173433261,70098.86813,16,,12/31/2019
8806173422845,55760.46328,17,,12/31/2019
8806173424177,134621.6899,24,,12/31/2019
8806173425204,19914.45117,65,,12/31/2019
8806173431168,43811.79258,24,,12/31/2019
8806173431175,43811.79258,24,,12/31/2019
8806173420308,59743.35352,17,,12/31/2019
8806173420315,61336.50961,17,,12/31/2019
8806173424368,35846.01211,80,,12/31/2019
8806173419678,61336.50961,24,,12/31/2019
8806173424870,15931.56094,100,,12/31/2019
8806173424924,111520.9266,24,,12/31/2019
8806173427260,95589.36563,18,,12/31/2019
8806173438297,26287.07555,21,,12/31/2019
8806173438822,70098.86813,17,,12/31/2019
8806173432387,27455.39002,4,,12/31/2019
8806173438457,33279.26063,4,,12/31/2019
8806173439669,87277.24688,4,,12/31/2019
8806173437214,15542.12278,80,,12/31/2019
8806173433308,70098.86813,16,,12/31/2019
8806173433322,70098.86813,16,,12/31/2019
8806173433346,70098.86813,16,,12/31/2019
8806173437870,150553.2509,16,,12/31/2019
8806173440696,54963.88523,16,,12/31/2019
8806173436767,70098.86813,16,,12/31/2019
8806173433421,53336.09531,16,,12/31/2019
8806173438815,78861.22664,17,,12/31/2019
8806173416974,7576.342313,65,,12/31/2019
8806173425488,199144.5117,24,,12/31/2019
8806173423552,52574.15109,24,,12/31/2019
8806173422081,54963.88523,22,,12/31/2019
8806173425600,61336.50961,24,,12/31/2019
8806173417094,7576.342313,65,,12/31/2019
8806173424665,78861.22664,24,,12/31/2019
8806173438914,35049.43406,21,,12/31/2019
8806173433155,61336.50961,16,,12/31/2019
8806173433339,70098.86813,16,,12/31/2019
8806173440979,122673.0192,16,,12/31/2019
8806173433247,70098.86813,16,,12/31/2019
8806173434633,86827.00711,13,,12/31/2019
8806173435234,102758.568,8,,12/31/2019
8806173433230,70098.86813,16,,12/31/2019
8806173435982,126655.9095,10,,12/31/2019
8806173434404,62929.6657,16,,12/31/2019
8806173437221,15542.12278,80,,12/31/2019
8806173436477,78861.22664,16,,12/31/2019
8806173434886,95589.36563,16,,12/31/2019
8806173434893,95589.36563,16,,12/31/2019
8806173434213,78861.22664,24,,12/31/2019
8806173436064,398289.0234,16,,12/31/2019
8806173441204,199144.5117,6,,12/31/2019
8806173417049,7576.342313,80,,12/31/2019
8806173424146,118690.129,24,,12/31/2019
8806173424160,118690.129,24,,12/31/2019
8806173416264,95589.36563,24,,12/31/2019
8806173423576,78861.22664,24,,12/31/2019
