Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
8806173420377,35049.43406,9600,,,,12/31/2019
8806173416929,7576.342313,1200,,,,12/31/2019
8806173416974,7576.342313,1200,,,,12/31/2019
8806173417025,7576.342313,1200,,,,12/31/2019
8806173417049,7576.342313,1200,,,,12/31/2019
8806173417063,7576.342313,1200,,,,12/31/2019
8806173417100,7576.342313,1200,,,,12/31/2019
8806173424160,118690.129,24,,,,12/31/2019
8806173419739,61336.50961,63,,,,12/31/2019
8806173432776,15931.56094,20,,,,12/31/2019
8806173432912,46998.10477,72,,,,12/31/2019
8806173432936,46998.10477,36,,,,12/31/2019
8806173420308,59743.35352,36,,,,12/31/2019
8806173422371,110724.3485,72,,,,12/31/2019
8806173422395,126655.9095,72,,,,12/31/2019
8806173420803,67709.13398,36,,,,12/31/2019
8806173426430,99572.25586,24,,,,12/31/2019
8806173426447,99572.25586,24,,,,12/31/2019
8806173427260,95589.36563,27,,,,12/31/2019
8806173421596,111520.9266,24,,,,12/31/2019
8806173434282,262870.7555,24,,,,12/31/2019
8806173436903,52574.15109,90,,,,12/31/2019
8806173433308,70098.86813,32,,,,12/31/2019
8806173433315,70098.86813,32,,,,12/31/2019
8806173433322,70098.86813,32,,,,12/31/2019
8806173434114,7965.780469,20,,,,12/31/2019
8806173435197,150553.2509,32,,,,12/31/2019
8806173434367,70098.86813,24,,,,12/31/2019
8806173434930,238973.4141,16,,,,12/31/2019
8806173440894,126655.9095,24,,,,12/31/2019
8806173440917,122673.0192,16,,,,12/31/2019
8806173440979,122673.0192,16,,,,12/31/2019
8806173437863,150553.2509,16,,,,12/31/2019
8806173437870,150553.2509,16,,,,12/31/2019
8806173437504,78861.22664,96,,,,12/31/2019
8806173439607,61336.50961,72,,,,12/31/2019
8806173433742,262870.7555,24,,,,12/31/2019
8806173434404,62929.6657,16,,,,12/31/2019
8806173436149,118690.129,24,,,,12/31/2019
8806173433605,75432.47766,24,,,,12/31/2019
8806173436774,70098.86813,32,,,,12/31/2019
8806173433278,70098.86813,32,,,,12/31/2019
8806173440085,134621.6899,48,,,,12/31/2019
8806173433520,19914.45117,20,,,,12/31/2019
8806173436668,182416.3727,16,,,,12/31/2019
8806173436675,182416.3727,16,,,,12/31/2019
8806173436705,198347.9337,16,,,,12/31/2019
8806173436064,398289.0234,16,,,,12/31/2019
8806173441204,199144.5117,18,,,,12/31/2019
8806173416981,7576.342313,1200,,,,12/31/2019
8806173416998,7576.342313,2400,,,,12/31/2019
8806173417032,7576.342313,1200,,,,12/31/2019
8806173422845,55760.46328,36,,,,12/31/2019
8806173419609,54963.88523,96,,,,12/31/2019
8806173424450,27880.23164,150,,,,12/31/2019
8806173424665,78861.22664,24,,,,12/31/2019
8806173425464,118690.129,24,,,,12/31/2019
8806173427307,95589.36563,27,,,,12/31/2019
8806173427390,190382.1532,36,,,,12/31/2019
8806173429196,78861.22664,36,,,,12/31/2019
8806173432530,111520.9266,72,,,,12/31/2019
8806173425532,166484.8118,60,,,,12/31/2019
8806173424672,78861.22664,24,,,,12/31/2019
8806173422081,54963.88523,36,,,,12/31/2019
8806173418978,47794.68281,36,,,,12/31/2019
8806173425600,61336.50961,24,,,,12/31/2019
8806173424979,62929.6657,72,,,,12/31/2019
8806173429202,78861.22664,36,,,,12/31/2019
8806173425358,43811.79258,96,,,,12/31/2019
8806173425372,43811.79258,72,,,,12/31/2019
8806173423231,119486.707,24,,,,12/31/2019
8806173419203,61336.50961,96,,,,12/31/2019
8806173437573,159315.6094,24,,,,12/31/2019
8806173438303,26287.07555,36,,,,12/31/2019
8806173438327,26287.07555,96,,,,12/31/2019
8806173436811,52574.15109,90,,,,12/31/2019
8806173436859,52574.15109,90,,,,12/31/2019
8806173436941,52574.15109,90,,,,12/31/2019
8806173436965,52574.15109,90,,,,12/31/2019
8806173439041,35049.43406,36,,,,12/31/2019
8806173441211,95589.36563,24,,,,12/31/2019
8806173435203,150553.2509,32,,,,12/31/2019
8806173440955,122673.0192,16,,,,12/31/2019
8806173440962,100368.8339,16,,,,12/31/2019
8806173437894,198347.9337,16,,,,12/31/2019
8806173437498,78861.22664,96,,,,12/31/2019
8806173439591,61336.50961,72,,,,12/31/2019
8806173436583,118690.129,48,,,,12/31/2019
8806173434824,95589.36563,24,,,,12/31/2019
8806173435180,27880.23164,20,,,,12/31/2019
8806173435227,150553.2509,32,,,,12/31/2019
8806173436682,198347.9337,16,,,,12/31/2019
8806173438815,78861.22664,36,,,,12/31/2019
8806173433261,70098.86813,32,,,,12/31/2019
8806173416967,7576.342313,1200,,,,12/31/2019
8806173424146,118690.129,24,,,,12/31/2019
8806173424153,134621.6899,24,,,,12/31/2019
8806173419685,61336.50961,27,,,,12/31/2019
8806173419722,61336.50961,27,,,,12/31/2019
8806173420162,39032.3243,84,,,,12/31/2019
8806173425686,86827.00711,24,,,,12/31/2019
8806173423576,78861.22664,36,,,,12/31/2019
8806173424443,39828.90234,160,,,,12/31/2019
8806173425174,31863.12188,24,,,,12/31/2019
8806173426591,78861.22664,72,,,,12/31/2019
8806173426379,119486.707,84,,,,12/31/2019
8806173427451,55760.46328,24,,,,12/31/2019
8806173430734,19914.45117,20,,,,12/31/2019
8806173423354,55760.46328,36,,,,12/31/2019
8806173423361,55760.46328,36,,,,12/31/2019
8806173423385,55760.46328,36,,,,12/31/2019
8806173423392,55760.46328,36,,,,12/31/2019
8806173432301,15931.56094,20,,,,12/31/2019
8806173432318,15931.56094,20,,,,12/31/2019
