Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
8806173432356,27880.23164,20,,,,12/31/2019
8806173419623,49526.37422,84,,,,12/31/2019
8806173422067,54963.88523,24,,,,12/31/2019
8806173418954,47794.68281,36,,,,12/31/2019
8806173426386,99572.25586,24,,,,12/31/2019
8806173426409,99572.25586,24,,,,12/31/2019
8806173426416,99572.25586,24,,,,12/31/2019
8806173426423,99572.25586,24,,,,12/31/2019
8806173420018,525741.5109,16,,,,12/31/2019
8806173424924,111520.9266,36,,,,12/31/2019
8806173424986,54963.88523,84,,,,12/31/2019
8806173425617,70098.86813,96,,,,12/31/2019
8806173425853,302699.6578,24,,,,12/31/2019
8806173425860,302699.6578,24,,,,12/31/2019
8806173421626,79657.80469,36,,,,12/31/2019
8806173428656,19914.45117,20,,,,12/31/2019
8806173421572,111520.9266,24,,,,12/31/2019
8806173436835,52574.15109,90,,,,12/31/2019
8806173436934,52574.15109,90,,,,12/31/2019
8806173437368,71692.02422,27,,,,12/31/2019
8806173433339,70098.86813,32,,,,12/31/2019
8806173437641,78861.22664,96,,,,12/31/2019
8806173434145,53336.09531,24,,,,12/31/2019
8806173433902,19914.45117,20,,,,12/31/2019
8806173441631,119486.707,32,,,,12/31/2019
8806173433803,14338.40484,20,,,,12/31/2019
8806173437887,198347.9337,16,,,,12/31/2019
8806173435159,31863.12188,20,,,,12/31/2019
8806173435302,71692.02422,45,,,,12/31/2019
8806173433827,23897.34141,20,,,,12/31/2019
8806173436590,118690.129,24,,,,12/31/2019
8806173436606,118690.129,48,,,,12/31/2019
8806173436613,118690.129,24,,,,12/31/2019
8806173434633,86827.00711,24,,,,12/31/2019
8806173433230,70098.86813,32,,,,12/31/2019
8806173433759,14338.40484,20,,,,12/31/2019
8806173433957,14338.40484,20,,,,12/31/2019
8806173433964,11948.6707,40,,,,12/31/2019
8806173435982,126655.9095,18,,,,12/31/2019
8806173435999,126655.9095,24,,,,12/31/2019
8806173434107,11948.6707,40,,,,12/31/2019
8806173435616,150553.2509,48,,,,12/31/2019
8806173436002,126655.9095,18,,,,12/31/2019
8806173434091,14338.40484,20,,,,12/31/2019
8806173436477,78861.22664,24,,,,12/31/2019
8806173436484,78861.22664,24,,,,12/31/2019
8806173438822,70098.86813,36,,,,12/31/2019
8806173435241,102758.568,32,,,,12/31/2019
8806173439119,119486.707,72,,,,12/31/2019
8806173434886,95589.36563,32,,,,12/31/2019
8806173434893,95589.36563,32,,,,12/31/2019
8806173433674,7965.780469,20,,,,12/31/2019
8806173437818,78861.22664,200,,,,12/31/2019
8806173435210,150553.2509,32,,,,12/31/2019
8806173433698,15931.56094,20,,,,12/31/2019
8806173433926,23897.34141,30,,,,12/31/2019
8806173434213,78861.22664,24,,,,12/31/2019
8806173434220,78861.22664,96,,,,12/31/2019
8806173436699,214279.4946,16,,,,12/31/2019
8806173434381,86827.00711,24,,,,12/31/2019
8806173436033,238973.4141,32,,,,12/31/2019
8806173419395,79657.80469,24,,,,12/31/2019
8806173424412,39828.90234,160,,,,12/31/2019
8806173412334,78861.22664,96,,,,12/31/2019
8806173427321,95589.36563,54,,,,12/31/2019
8806173429424,27880.23164,50,,,,12/31/2019
8806173432059,159315.6094,64,,,,12/31/2019
8806173423798,52574.15109,36,,,,12/31/2019
8806173425976,102758.568,72,,,,12/31/2019
8806173420315,61336.50961,36,,,,12/31/2019
8806173423804,52574.15109,36,,,,12/31/2019
8806173422715,199144.5117,72,,,,12/31/2019
8806173419678,61336.50961,36,,,,12/31/2019
8806173424900,111520.9266,36,,,,12/31/2019
8806173424917,111520.9266,36,,,,12/31/2019
8806173419562,52574.15109,24,,,,12/31/2019
8806173425365,43811.79258,96,,,,12/31/2019
8806173420032,78861.22664,96,,,,12/31/2019
8806173424252,23897.34141,250,,,,12/31/2019
8806173438297,26287.07555,36,,,,12/31/2019
8806173438310,26287.07555,36,,,,12/31/2019
8806173436866,52574.15109,90,,,,12/31/2019
8806173436972,52574.15109,90,,,,12/31/2019
8806173438457,33279.26063,20,,,,12/31/2019
8806173440665,54963.88523,24,,,,12/31/2019
8806173434947,102758.568,32,,,,12/31/2019
8806173439072,35049.43406,180,,,,12/31/2019
8806173440931,67319.69583,64,,,,12/31/2019
8806173433360,95589.36563,36,,,,12/31/2019
8806173439669,87277.24688,20,,,,12/31/2019
8806173434206,78861.22664,36,,,,12/31/2019
8806173436620,118690.129,24,,,,12/31/2019
8806173440078,118690.129,48,,,,12/31/2019
8806173437795,262870.7555,16,,,,12/31/2019
8806173440689,54963.88523,24,,,,12/31/2019
8806173440696,54963.88523,24,,,,12/31/2019
8806173434299,238973.4141,16,,,,12/31/2019
8806173433421,53336.09531,32,,,,12/31/2019
8806173433735,199144.5117,24,,,,12/31/2019
8806173438808,78861.22664,36,,,,12/31/2019
8806173416288,91433.30625,60,,,,12/31/2019
8806173419524,49526.37422,84,,,,12/31/2019
8806173419531,49526.37422,60,,,,12/31/2019
8806173419548,49526.37422,84,,,,12/31/2019
8806173419692,61336.50961,27,,,,12/31/2019
8806173419708,61336.50961,63,,,,12/31/2019
8806173419715,61336.50961,36,,,,12/31/2019
8806173416370,44954.70891,36,,,,12/31/2019
8806173416400,60193.59328,36,,,,12/31/2019
8806173422838,61336.50961,36,,,,12/31/2019
8806173424627,19914.45117,24,,,,12/31/2019
8806173425143,23897.34141,24,,,,12/31/2019
8806173425150,19914.45117,24,,,,12/31/2019
8806173425167,19914.45117,24,,,,12/31/2019
8806173425181,31863.12188,24,,,,12/31/2019
8806173425471,118690.129,24,,,,12/31/2019
8806173428397,15931.56094,20,,,,12/31/2019
8806173428427,71692.02422,20,,,,12/31/2019
8806173430642,39828.90234,20,,,,12/31/2019
8806173430741,15931.56094,20,,,,12/31/2019
8806173430789,55760.46328,24,,,,12/31/2019
8806173430826,23897.34141,20,,,,12/31/2019
8806173430260,78861.22664,36,,,,12/31/2019
8806173430277,78861.22664,27,,,,12/31/2019
8806173430314,27880.23164,50,,,,12/31/2019
8806173423323,55760.46328,36,,,,12/31/2019
8806173423330,55760.46328,36,,,,12/31/2019
8806173423347,55760.46328,36,,,,12/31/2019
8806173423378,55760.46328,36,,,,12/31/2019
8806173432288,23897.34141,20,,,,12/31/2019
8806173432349,23897.34141,20,,,,12/31/2019
8806173430659,35846.01211,20,,,,12/31/2019
8806173430680,71692.02422,20,,,,12/31/2019
8806173430758,11948.6707,20,,,,12/31/2019
8806173432486,26287.07555,63,,,,12/31/2019
8806173432295,18625.30313,20,,,,12/31/2019
8806173432332,31863.12188,20,,,,12/31/2019
8806173432752,11948.6707,20,,,,12/31/2019
8806173432769,14338.40484,20,,,,12/31/2019
8806173432783,15931.56094,20,,,,12/31/2019
8806173422289,35049.43406,72,,,,12/31/2019
8806173422296,35049.43406,72,,,,12/31/2019
8806173422302,35049.43406,72,,,,12/31/2019
8806173422043,54963.88523,36,,,,12/31/2019
8806173422050,54963.88523,36,,,,12/31/2019
8806173418947,47794.68281,36,,,,12/31/2019
8806173418961,47794.68281,36,,,,12/31/2019
8806173418985,47794.68281,36,,,,12/31/2019
8806173419043,79657.80469,27,,,,12/31/2019
8806173420810,67709.13398,36,,,,12/31/2019
8806173424382,35846.01211,160,,,,12/31/2019
8806173422708,199144.5117,72,,,,12/31/2019
8806173416394,62929.6657,36,,,,12/31/2019
8806173424658,86827.00711,120,,,,12/31/2019
8806173416745,27880.23164,200,,,,12/31/2019
8806173420322,55760.46328,36,,,,12/31/2019
8806173420735,43811.79258,84,,,,12/31/2019
8806173430383,27880.23164,84,,,,12/31/2019
8806173430369,27880.23164,84,,,,12/31/2019
8806173416363,46998.10477,36,,,,12/31/2019
8806173427314,95589.36563,27,,,,12/31/2019
8806173416332,46998.10477,36,,,,12/31/2019
8806173420841,63726.24375,36,,,,12/31/2019
8806173420858,63726.24375,36,,,,12/31/2019
8806173420865,63726.24375,36,,,,12/31/2019
8806173420872,63726.24375,36,,,,12/31/2019
8806173420896,63726.24375,36,,,,12/31/2019
8806173427093,26287.07555,63,,,,12/31/2019
8806173427109,26287.07555,63,,,,12/31/2019
8806173427116,26287.07555,63,,,,12/31/2019
8806173427123,26287.07555,63,,,,12/31/2019
8806173427130,26287.07555,63,,,,12/31/2019
8806173434039,23897.34141,20,,,,12/31/2019
8806173434046,39828.90234,20,,,,12/31/2019
8806173437375,71692.02422,27,,,,12/31/2019
8806173437054,79657.80469,32,,,,12/31/2019
8806173437771,27880.23164,84,,,,12/31/2019
8806173437788,27880.23164,84,,,,12/31/2019
8806173433346,70098.86813,32,,,,12/31/2019
8806173433933,15931.56094,20,,,,12/31/2019
8806173440047,78861.22664,24,,,,12/31/2019
8806173433452,61336.50961,36,,,,12/31/2019
8806173433476,61336.50961,32,,,,12/31/2019
8806173434954,102758.568,32,,,,12/31/2019
8806173440276,79657.80469,32,,,,12/31/2019
8806173440283,79657.80469,32,,,,12/31/2019
8806173441624,119486.707,32,,,,12/31/2019
8806173441648,119486.707,32,,,,12/31/2019
8806173441655,119486.707,24,,,,12/31/2019
8806173441662,119486.707,32,,,,12/31/2019
8806173441679,119486.707,32,,,,12/31/2019
8806173441686,119486.707,24,,,,12/31/2019
8806173441693,119486.707,24,,,,12/31/2019
8806173440948,159315.6094,64,,,,12/31/2019
8806173433681,11948.6707,20,,,,12/31/2019
8806173433841,23897.34141,20,,,,12/31/2019
8806173439133,78861.22664,36,,,,12/31/2019
8806173439140,78861.22664,36,,,,12/31/2019
8806173439157,78861.22664,36,,,,12/31/2019
8806173436507,62929.6657,24,,,,12/31/2019
8806173435135,27880.23164,50,,,,12/31/2019
8806173434626,86827.00711,32,,,,12/31/2019
8806173433711,23897.34141,20,,,,12/31/2019
8806173434916,46998.10477,72,,,,12/31/2019
8806173433940,14338.40484,20,,,,12/31/2019
8806173437382,55760.46328,24,,,,12/31/2019
8806173437399,55760.46328,24,,,,12/31/2019
8806173434084,19914.45117,20,,,,12/31/2019
8806173433797,23897.34141,20,,,,12/31/2019
8806173435166,35846.01211,20,,,,12/31/2019
8806173436132,118690.129,48,,,,12/31/2019
8806173435753,79657.80469,32,,,,12/31/2019
8806173435760,79657.80469,32,,,,12/31/2019
8806173435777,79657.80469,32,,,,12/31/2019
8806173433995,55760.46328,24,,,,12/31/2019
8806173434008,55760.46328,24,,,,12/31/2019
8806173434015,55760.46328,24,,,,12/31/2019
8806173434022,55760.46328,24,,,,12/31/2019
8806173438198,46998.10477,27,,,,12/31/2019
8806173437689,35049.43406,56,,,,12/31/2019
8806173436767,70098.86813,32,,,,12/31/2019
8806173434817,95589.36563,32,,,,12/31/2019
8806173434831,95589.36563,32,,,,12/31/2019
8806173434848,95589.36563,32,,,,12/31/2019
8806173434855,95589.36563,24,,,,12/31/2019
8806173434862,95589.36563,24,,,,12/31/2019
8806173434879,95589.36563,32,,,,12/31/2019
8806173433919,7965.780469,30,,,,12/31/2019
8806173435296,23897.34141,20,,,,12/31/2019
8806173433896,7965.780469,20,,,,12/31/2019
8806173433704,27880.23164,20,,,,12/31/2019
8806173433834,78861.22664,20,,,,12/31/2019
8806173433858,11948.6707,20,,,,12/31/2019
8806173435074,95589.36563,32,,,,12/31/2019
