Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
JEJU SPARKLING FOAM CLEANSER,8.80617E+12,code128,Nature Republic,Cleansing,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NM7287,,,,,
JEJU SPARKLING FOAM CLEANSER,8.80617E+12,code128,Nature Republic,Cleansing,pcs,pcs,pcs,119715,310000,100,VAT10,inclusive,,,,NL8704,,,,,
FOREST GARDEN LIP&EYE REMOVER MILD,8.80617E+12,code128,Nature Republic,Cleansing,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8576,,,,,
JEJU SPARKLING MUD CLEANSING CREAM,8.80617E+12,code128,Nature Republic,Cleansing,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8090,,,,,
BOTANICAL ALL DAY TINT EYEBROW 02 LIGHT BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,70233,182000,100,VAT10,inclusive,,,,NL8134,,,,,
HONEY&HERB MASSAGE CREAM,8.80617E+12,code128,Nature Republic,Massage,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8016,,,,,
COLLAGEN DREAM 90 SKIN BOOSTER,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,166804,432000,100,VAT10,inclusive,,,,NL8618,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDRO GEL MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,35915,95000,100,VAT10,inclusive,,,,NL8501,,,,,
ECO LIP GLOSS 03 CHERRY,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8031,,,,,
SNAIL SOLUTION PEARL HYDRO GEL MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,39905,105000,100,VAT10,inclusive,,,,NL8510,,,,,
SUPER AQUA MAX WATERY ESSENCE(RR),8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,126898,328000,100,VAT10,inclusive,,,,NL8300,,,,,
BYFLOWER TRIPLE VOLUME TINT 07 ORCHID PLUM,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NL9068,,,,,
COLLAGEN DREAM 70 EYE CREAM,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,198728,515000,100,VAT10,inclusive,,,,NL8622,,,,,
COLLAGEN DREAM 70 EMULSION,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,166804,432000,100,VAT10,inclusive,,,,NL8619,,,,,
BOTANICAL HYPER LINER 02 BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8694,,,,,
BOTANICAL HYPER LINER 01 BLACK,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8693,,,,,
PROVENCE CREAMY GEL EYELINER 02 BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8146,,,,,
PROVENCE CREAMY GEL EYELINER 04 GOLDEN KHAKI,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8148,,,,,
PROVENCE CREAMY GEL EYELINER 06 PINK SHIMMER,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8150,,,,,
BY FLOWER HARD EYELINER 02 BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,47088,122000,100,VAT10,inclusive,,,,NM7696,,,,,
BOTANICAL SKINNY AUTO EYELINER 01 BLACK,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63050,165000,100,VAT10,inclusive,,,,NM7698,,,,,
BOTANICAL SKINNY AUTO EYELINER 02 BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63050,165000,100,VAT10,inclusive,,,,NM7699,,,,,
PROVENCE CREAMY GEL EYELINER 01 BLACK,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8145,,,,,
PROVENCE CREAMY GEL EYELINER 03 CHOCO BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8147,,,,,
PROVENCE CREAMY GEL EYELINER 05 BURGUNDY,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8149,,,,,
COLLAGEN DREAM 70 CREAM,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,198728,515000,100,VAT10,inclusive,,,,NL8621,,,,,
GREENTINOL MULTI TONER,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,166804,432000,100,VAT10,inclusive,,,,NL8715,,,,,
GREENTINOL EYE SERUM,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,166804,432000,100,VAT10,inclusive,,,,NL8718,,,,,
GREENTINOL CREAM,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,198728,515000,100,VAT10,inclusive,,,,NL8717,,,,,
WHITE VITA FIRST ESSENCE,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,190747,495000,100,VAT10,inclusive,,,,NL8864,,,,,
WHITE VITA FLORAL MOISTURE CREAM,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,190747,495000,100,VAT10,inclusive,,,,NL8804,,,,,
REAL NATURE BAMBOO MASK SHEET ,8.80617E+12,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,7591,18000,100,VAT10,inclusive,,,,NM7759,,,,,
AQUA COLLAGEN SOLUTION HYALURONIC ACID HYDRO GEL MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,35915,95000,100,VAT10,inclusive,,,,NL8502,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDROGEL EYE CREAM MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,23943,62000,100,VAT10,inclusive,,,,NK0048,,,,,
SNAIL SOLUTION RED GINSENG HYDRO GEL MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,39905,105000,100,VAT10,inclusive,,,,NL8509,,,,,
ARGAN 20º OIL ESSENCE,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,134879,350000,100,VAT10,inclusive,,,,NL8616,,,,,
BOTANICAL SIMPLE MAKING GEL EYELINER 1 BLACK,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,67839,178000,100,VAT10,inclusive,,,,NL8141,,,,,
BOTANICAL EYEBROW COATING CARA 02 LIGHT BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,51877,135000,100,VAT10,inclusive,,,,NL8013,,,,,
INTENSE TOUCH MASCARA,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NM7685,,,,,
BOTANICAL SIMPLE MAKING GEL EYELINER 2 DARK BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,67839,178000,100,VAT10,inclusive,,,,NL8142,,,,,
ECO CRYON LIP ROUGE 05 BURGUNDY RED,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7958,,,,,
REAL NATURE SHEA BUTTER MASK SHEET ,8.80617E+12,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,7591,18000,100,VAT10,inclusive,,,,NM7757,,,,,
WATERPROOF MIRACLE MASCARA,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NM7687,,,,,
CRYSTAL EYE TINT 02 CRYSTAL CHAMPAGNE,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NL8969,,,,,
PROVENCE ALL IN ONE DUAL STRETCH MASCARA,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,143659,372000,100,VAT10,inclusive,,,,NL8698,,,,,
ECO CRAYON EYES 04 BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NL8129,,,,,
ULTRA MASCARA #2 CURLING,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,47088,122000,100,VAT10,inclusive,,,,NM7692,,,,,
POLYNESIA LAGOON WATER HYDRO EYE CREAM,8.80617E+12,code128,Nature Republic,Skin Care,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NL8525,,,,,
NATURE ORIGIN CC BRIGHTENING SPF30 PA++,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,111734,290000,100,VAT10,inclusive,,,,NL8218,,,,,
GINSENG ROYAL SILK POWDER 01PURE BEIGE SPF26PA+,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,263374,682000,100,VAT10,inclusive,,,,NK0461,,,,,
COCONUT BIO SKIN MASK [MOISTURE],8.80617E+12,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,23943,62000,100,VAT10,inclusive,,,,NL8645,,,,,
CRYSTAL EYE TINT 01 WHITE DIA,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NL8968,,,,,
CRYSTAL EYE TINT 03 PINK PEARLS,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NL8970,,,,,
SWEET JELLY GLOSS 04 POPPING STRAWBERRY,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,26337,70000,100,VAT10,inclusive,,,,NL8778,,,,,
GINSENG ROYAL SILK MASCARA & FIXER,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,183564,475000,100,VAT10,inclusive,,,,NK0601,,,,,
