Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
POLYNESIA LAGOON WATER HYDRO ESSENCE,8806173424573,code128,Nature Republic,Skin Care,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NL8523,,,,,
POLYNESIA LAGOON WATER HYDRO EMULSION,8806173424566,code128,Nature Republic,Skin Care,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8522,,,,,
GINSENG ROYAL SILK GOLD HYDROGEL MASK,8806173429233,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NL8991,,,,,
BATH & NATURE APPLE MANGO BODY LOTION,8806173427260,code128,Nature Republic,Body Care,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8793,,,,,
BATH & NATURE PEACH BODY LOTION,8806173427321,code128,Nature Republic,Body Care,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8798,,,,,
POLYNESIA LAGOON WATER HYDRO CREAM,8806173424580,code128,Nature Republic,Skin Care,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NL8524,,,,,
SKIN SMOOTHING BODY PEELING MIST-PEACH,8806173423804,code128,Nature Republic,Body Care,pcs,pcs,pcs,71031,185000,100,VAT10,inclusive,,,,NL8446,,,,,
SKIN SMOOTHING BODY PEELING MIST-PHYTONCIDE,8806173423781,code128,Nature Republic,Body Care,pcs,pcs,pcs,71031,185000,100,VAT10,inclusive,,,,NL8444,,,,,
POLYNESIA LAGOON WATER HYDRO SKIN,8806173424559,code128,Nature Republic,Skin Care,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8521,,,,,
GREEN DERMA MILD LOTION,8806173423231,code128,Nature Republic,Skin Care,pcs,pcs,pcs,119715,310000,100,VAT10,inclusive,,,,NL8389,,,,,
GINSENG ROYAL SILK EMULSION,8806173425860,code128,Nature Republic,Skin Care,pcs,pcs,pcs,303279,785000,100,VAT10,inclusive,,,,NL8652,,,,,
BATH & NATURE PROVENCE PEACH MOUSSE BODY OIL ,8806173420513,code128,Nature Republic,Body Care,pcs,pcs,pcs,119715,310000,100,VAT10,inclusive,,,,NL8116,,,,,
BATH & NATURE GRAPEFRUIT BODY LOTION,8806173427307,code128,Nature Republic,Body Care,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8796,,,,,
FRESH DEODRANT STICK - FLORAL,8806173433155,code128,Nature Republic,Body Care,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NK0169,,,,,
GINSENG ROYAL SILK EYE CREAM,8806173425877,code128,Nature Republic,Skin Care,pcs,pcs,pcs,526748,1362000,100,VAT10,inclusive,,,,NL8653,,,,,
ARGAN 20º STEAM EMULSION,8806173425471,code128,Nature Republic,Skin Care,pcs,pcs,pcs,118917,308000,100,VAT10,inclusive,,,,NL8613,,,,,
ARGAN 20º REAL SQUEEZE AMPOULE,8806173425488,code128,Nature Republic,Skin Care,pcs,pcs,pcs,199526,518000,100,VAT10,inclusive,,,,NL8614,,,,,
REAL NATURE OLIVE ESSENCE,8806173426430,code128,Nature Republic,Skin Care,pcs,pcs,pcs,99763,258000,100,VAT10,inclusive,,,,NL8710,,,,,
BATH & NATURE PROVENCE PEACH BODY BUTTER,8806173428687,code128,Nature Republic,Body Care,pcs,pcs,pcs,119715,310000,100,VAT10,inclusive,,,,NL8935,,,,,
FRESH DEODORANT SPRAY - FLORAL,8806173423866,code128,Nature Republic,Body Care,pcs,pcs,pcs,47088,122000,100,VAT10,inclusive,,,,NL8452,,,,,
REAL NATURE HONEY AMPOULE,8806173426423,code128,Nature Republic,Skin Care,pcs,pcs,pcs,99763,258000,100,VAT10,inclusive,,,,NL8709,,,,,
GINSENG ROYAL SILK TONER,8806173425853,code128,Nature Republic,Skin Care,pcs,pcs,pcs,303279,785000,100,VAT10,inclusive,,,,NL8651,,,,,
GINSENG ROYAL SILK AMPOULE,8806173431441,code128,Nature Republic,Skin Care,pcs,pcs,pcs,957724,2475000,100,VAT10,inclusive,,,,NK0011,,,,,
ARGAN 20º ESSENTIAL TONER,8806173425464,code128,Nature Republic,Skin Care,pcs,pcs,pcs,118917,308000,100,VAT10,inclusive,,,,NL8612,,,,,
ARGAN 20º REAL CREAM,8806173425495,code128,Nature Republic,Skin Care,pcs,pcs,pcs,134879,350000,100,VAT10,inclusive,,,,NL8615,,,,,
REAL SQUEEZE ALOE VERA TONER,8806173424146,code128,Nature Republic,Skin Care,pcs,pcs,pcs,118917,308000,100,VAT10,inclusive,,,,NL8482,,,,,
REAL NATURE HONEY ESSENCE,8806173426454,code128,Nature Republic,Skin Care,pcs,pcs,pcs,99763,258000,100,VAT10,inclusive,,,,NL8712,,,,,
REAL NATURE OLIVE AMPOULE,8806173426409,code128,Nature Republic,Skin Care,pcs,pcs,pcs,99763,258000,100,VAT10,inclusive,,,,NL8707,,,,,
REAL NATURE LEMON PEELING GEL WASH,8806173419586,code128,Nature Republic,Peeling,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8019,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 03 DEEP BEIGE,8806173434831,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NK0346,,,,,
CREAMY LIPSTICK 10 HOLLYWOOD RED(R),8806173422234,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8285,,,,,
FRESH GREEN TEA FOAM CLEANSER,8806173425600,code128,Nature Republic,Cleansing,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8626,,,,,
GREEN DERMA MILD PEELING GEL,8806173428823,code128,Nature Republic,Peeling,pcs,pcs,pcs,102955,268000,100,VAT10,inclusive,,,,NL8949,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDROGEL LIP PATCH(R),8806173425204,code128,Nature Republic,Patch,pcs,pcs,pcs,19953,52000,100,VAT10,inclusive,,,,NL8586,,,,,
HONEY&HERB SLEEPING PACK,8806173419203,code128,Nature Republic,Pack,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL7980,,,,,
KISS MY LIP OIL 01 SWEET HONEY,8806173430260,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL9093,,,,,
FOREST GARDEN BUBBLE TINT CLEANSER,8806173424962,code128,Nature Republic,Cleansing,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8574,,,,,
CREAMY LIPSTICK 03 CREME BEIGE(R),8806173422166,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8278,,,,,
FRESH GREEN TEA BUBBLE DEEP CLEANSER,8806173425617,code128,Nature Republic,Cleansing,pcs,pcs,pcs,70233,182000,100,VAT10,inclusive,,,,NL8627,,,,,
