Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173427451,55760.46328,12,,12/31/2019
8806173429202,78861.22664,24,,12/31/2019
8806173440047,78861.22664,16,,12/31/2019
8806173438808,78861.22664,12,,12/31/2019
8806173420308,59743.35352,24,,12/31/2019
8806173424870,15931.56094,100,,12/31/2019
8806173438822,70098.86813,12,,12/31/2019
8806173432387,27455.39002,10,,12/31/2019
8806173423552,52574.15109,12,,12/31/2019
8806173425600,61336.50961,24,,12/31/2019
8806173424665,78861.22664,12,,12/31/2019
8806173435234,102758.568,8,,12/31/2019
8806173423576,78861.22664,24,,12/31/2019
8806173439041,35049.43406,12,,12/31/2019
8806173425686,86827.00711,12,,12/31/2019
8806173426430,99572.25586,24,,12/31/2019
8806173433896,7965.780469,20,,12/31/2019
8806173428434,87277.24688,10,,12/31/2019
8806173434039,23897.34141,20,,12/31/2019
8806173436866 ,52574.15109,18,,12/31/2019
8806173437504 ,78861.22664,12,,12/31/2019
8806173437498 ,78861.22664,12,,12/31/2019
8806173437641 ,78861.22664,12,,12/31/2019
8806173436972 ,52574.15109,18,,12/31/2019
8806173436903 ,52574.15109,18,,12/31/2019
8806173436859 ,52574.15109,18,,12/31/2019
8806173436811 ,52574.15109,18,,12/31/2019
8806173436934 ,52574.15109,18,,12/31/2019
8806173436835 ,52574.15109,18,,12/31/2019
8806173436965 ,52574.15109,18,,12/31/2019
8806173436941 ,52574.15109,18,,12/31/2019
