Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
8806173420377," 35,049 ",100,,12/31/2019
