Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
REAL NATURE CUCUMBER MASK SHEET ,8806173417094,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,100,VAT10,inclusive,,,,NM7765,,,,,
SOOTHING & MOISTURE ALOE VERA CLEANSING GEL FOAM ,8806173438914,code128,Nature Republic,Cleansing,Pcs,Pcs,Pcs,35050,95000,50,VAT10,inclusive,,,,NK0748,,,,,
FRESH DEODRANT STICK - FLORAL,8806173433155,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,61337,168000,20,VAT10,inclusive,,,,NK0169,,,,,
PURE SHINE LIPSTICK 02 CREAM ROSE,8806173433247,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0178,,,,,
PROVENCE AIR SKIN FIT BB CREAM 01 LIGHT BEIGE SPF35PA++,8806173435234,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,102759,278000,20,VAT10,inclusive,,,,NK0388,,,,,
REAL NATURE CHAMOMILE HYDROGEL MASK ,8806173437221,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0580,,,,,
INTENSE TOUCH MASCARA,8806173416264,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NM7685,,,,,
SNAIL SOLUTION RED GINSENG HYDRO GEL MASK,8806173424436,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,39829,108000,50,VAT10,inclusive,,,,NL8509,,,,,
BATH&NATURE PROVENCE PEACH MOUSSE BODY OIL ,8806173420513,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,119487,322000,20,VAT10,inclusive,,,,NL8116,,,,,
BOTANICAL GREEN TEA PORE POWDER ,8806173421633,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,63727,172000,20,VAT10,inclusive,,,,NL8224,,,,,
GINSENG ROYAL SILK GOLD MASSAGER,8806173438723,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,572983,1418000,20,VAT10,inclusive,,,,NK0729,,,,,
REAL NATURE GREEN TEE HYDROGEL MASK ,8806173437245,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0582,,,,,
GINSENG ROYAL SILK CAPSULE ESSENCE,8806173435951,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,477947,1288000,20,VAT10,inclusive,,,,NK0326,,,,,
SKIN SMOOTHING BODY PEELING MIST-PHYTONCIDE,8806173423781,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,52575,185000,20,VAT10,inclusive,,,,NL8444,,,,,
BLACKHEAD CLEAR  NOSE PACK(7EA),8806173424894,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,27881,75000,50,VAT10,inclusive,,,,NL8567,,,,,
BEAUTY TOOL NATURAL MILD COTTON WIPE,8806173435081,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,7959,22000,20,VAT10,inclusive,,,,NK0371,,,,,
BEAUTY TOOL PERFECT COVER BRUSH,8806173435173,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,72732,215000,20,VAT10,inclusive,,,,NK0382,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDROGEL EYE CREAM MASK,8806173431892,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NK0048,,,,,
REAL FRESH BROWN SUGAR FACIAL SCRUB MASK,8806173438273,code128,Nature Republic,Pack,Pcs,Pcs,Pcs,150554,408000,20,VAT10,inclusive,,,,NK0687,,,,,
BAMBOO CHARCOAL BLACK MASK SHEET,8806173424344,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NL8500,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDROGEL EYE PATCH(R),8806173425198,code128,Nature Republic,Patch,Pcs,Pcs,Pcs,19915,55000,50,VAT10,inclusive,,,,NL8585,,,,,
NATURAL BUTTER LIPBALM 04 MANGO,8806173422074,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,54964,150000,20,VAT10,inclusive,,,,NL8269,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDRO GEL MASK,8806173424351,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,35847,98000,50,VAT10,inclusive,,,,NL8501,,,,,
REAL NATURE HONEY ESSENCE,8806173426454,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,99573,270000,20,VAT10,inclusive,,,,NL8712,,,,,
CREAMY LIPSTICK 07 IT'S MY PINK(R),8806173422203,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NL8282,,,,,
PROVENCE CREAMY GEL EYELINER 05 BURGUNDY,8806173420889,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,63727,172000,20,VAT10,inclusive,,,,NL8149,,,,,
BEAUTY TOOL NATURAL WATER JET COTTON,8806173435128,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,19896,55000,20,VAT10,inclusive,,,,NK0377,,,,,
BEAUTY TOOL COTTON SWAB 300PCS,8806173435142,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,7959,22000,50,VAT10,inclusive,,,,NK0379,,,,,
