Product Code,Unit Cost, Quantity,Product Variant, Expiry
8806173437054,79658,9,,8/31/2019
8806173440665,54964,11,,8/31/2019
8806173434954,102759,8,,8/31/2019
8806173440276,79658,9,,8/31/2019
8806173437405,183213,8,,8/31/2019
8806173437887,198348,12,,8/31/2019
8806173439133,78862,12,,8/31/2019
8806173439140,78862,12,,8/31/2019
8806173439157,78862,12,,8/31/2019
8806173434626,86828,9,,8/31/2019
8806173437382,55761,11,,8/31/2019
8806173436002,126656,8,,8/31/2019
8806173433995,55761,11,,8/31/2019
8806173434015,55761,11,,8/31/2019
8806173435241,102759,8,,8/31/2019
8806173440689,54964,11,,8/31/2019
8806173434817,95590,9,,8/31/2019
8806173434879,95590,8,,8/31/2019
8806173434909,95590,9,,8/31/2019
8806173433438,55761,8,,8/31/2019
8806173417018,7577,480,,8/31/2019
8806173419685,61337,12,,8/31/2019
8806173419715,61337,9,,8/31/2019
8806173422838,61337,19,,8/31/2019
8806173425211,23898,56,,8/31/2019
8806173423323,55761,12,,8/31/2019
8806173423361,55761,12,,8/31/2019
8806173423378,55761,12,,8/31/2019
8806173422043,54964,14,,8/31/2019
8806173418947,47795,24,,8/31/2019
8806173418954,47795,24,,8/31/2019
8806173424887,3983,300,,8/31/2019
8806173427314,95590,10,,8/31/2019
8806173416332,46999,19,,8/31/2019
8806173420841,63727,12,,8/31/2019
8806173420865,63727,12,,8/31/2019
8806173420872,63727,12,,8/31/2019
8806173420896,63727,12,,8/31/2019
8806173416219,70099,36,,8/31/2019
8806173420810,67710,12,,8/31/2019
8806173424627,19915,12,,8/31/2019
8806173425150,19915,12,,8/31/2019
8806173425174,31864,12,,8/31/2019
8806173425181,31864,12,,8/31/2019
8806173430642,39829,12,,8/31/2019
8806173430673,181828,4,,8/31/2019
8806173430734,19915,12,,8/31/2019
8806173430741,15932,12,,8/31/2019
8806173430826,23898,12,,8/31/2019
8806173432288,23898,12,,8/31/2019
8806173432301,15932,12,,8/31/2019
8806173432318,15932,12,,8/31/2019
8806173432332,31864,12,,8/31/2019
8806173432370,43770,12,,8/31/2019
8806173432752,11949,12,,8/31/2019
8806173432783,15932,12,,8/31/2019
8806173428656,19915,12,,8/31/2019
8806173433902,19915,12,,8/31/2019
8806173433681,11949,12,,8/31/2019
8806173433803,14339,12,,8/31/2019
8806173434091,14339,12,,8/31/2019
8806173433919,7966,12,,8/31/2019
8806173433698,15932,12,,8/31/2019
8806173433896,7966,12,,8/31/2019
8806173433452,61337,12,,8/31/2019
8806173433476,61337,8,,8/31/2019
8806173434145,53337,11,,8/31/2019
8806173432615,95590,9,,8/31/2019
8806173437375,71693,12,,8/31/2019
8806173437061,79658,9,,8/31/2019
8806173433445,61337,12,,8/31/2019
8806173441624,119487,8,,8/31/2019
8806173441648,119487,8,,8/31/2019
8806173441655,119487,11,,8/31/2019
8806173441662,119487,8,,8/31/2019
8806173441686,119487,11,,8/31/2019
8806173441693,119487,11,,8/31/2019
8806173436507,62930,9,,8/31/2019
8806173436590,118691,8,,8/31/2019
8806173436613,118691,8,,8/31/2019
8806173434008,55761,11,,8/31/2019
8806173434022,55761,11,,8/31/2019
8806173438198,46999,14,,8/31/2019
8806173441990,39033,128,,8/31/2019
8806173434831,95590,9,,8/31/2019
8806173434848,95590,8,,8/31/2019
8806173434855,95590,11,,8/31/2019
8806173434862,95590,8,,8/31/2019
8806173436026,262871,9,,8/31/2019
8806173435074,95590,8,,8/31/2019
8806173419722,61337,12,,8/31/2019
8806173420193,134622,12,,8/31/2019
8806173416370,44955,12,,8/31/2019
8806173416400,60194,12,,8/31/2019
8806173423330,55761,12,,8/31/2019
