Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
NATUREREPUBLIC MULTIPLE TOUCH STICK 03 DEEP BEIGE SPF37PA++,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0346,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 04 SHINING BEAM,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0347,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 05 CONTOUR BEAM,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0348,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 06 BABY CORAL,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0349,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 07 COZY PINK,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0350,,,,,
BEAUTY TOOL CUTICLE TRIMMER,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,7966,22000,20,VAT10,inclusive,,,,NK0246,,,,,
BEAUTY TOOL SOFT 1/2 COTTON WIPE,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,23898,65000,20,VAT10,inclusive,,,,NK0400,,,,,
BEAUTY TOOL MASK SHEET (6P),8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,7966,18000,20,VAT10,inclusive,,,,NK0244,,,,,
BEAUTY TOOL EYE BROW ANGLE BRUSH,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,27881,78000,20,VAT10,inclusive,,,,NK0224,,,,,
BEAUTY TOOL NAIL NIPPER,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,78862,215000,20,VAT10,inclusive,,,,NK0238,,,,,
BEAUTY TOOL BODY SHAVER,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,11949,35000,20,VAT10,inclusive,,,,NK0240,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 11 COCONUT,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0370,,,,,
