Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173420377,35049.43406,1080,,12/31/2019
8806173433162,61336.50961,9,,12/31/2019
8806173433315,70098.86813,16,,12/31/2019
8806173434930,238973.4141,16,,12/31/2019
8806173440955,122673.0192,16,,12/31/2019
8806173433254,70098.86813,16,,12/31/2019
8806173433728,199144.5117,24,,12/31/2019
8806173433742,262870.7555,24,,12/31/2019
8806173435999,126655.9095,10,,12/31/2019
8806173436538,214279.4946,16,,12/31/2019
8806173440306,62929.6657,16,,12/31/2019
8806173436484,78861.22664,13,,12/31/2019
8806173433278,70098.86813,16,,12/31/2019
8806173434824,95589.36563,15,,12/31/2019
8806173435210,150553.2509,16,,12/31/2019
8806173436705,198347.9337,16,,12/31/2019
8806173434381,86827.00711,16,,12/31/2019
8806173416929,7576.342313,65,,12/31/2019
8806173416998,7576.342313,65,,12/31/2019
8806173418015,78861.22664,24,,12/31/2019
8806173424450,27880.23164,100,,12/31/2019
8806173427307,95589.36563,18,,12/31/2019
8806173427451,55760.46328,5,,12/31/2019
8806173422067,54963.88523,22,,12/31/2019
8806173418978,47794.68281,24,,12/31/2019
8806173426409,99572.25586,24,,12/31/2019
8806173426423,99572.25586,24,,12/31/2019
8806173414123,43811.79258,24,,12/31/2019
8806173425464,118690.129,24,,12/31/2019
8806173436149,118690.129,16,,12/31/2019
8806173439065,86827.00711,16,,12/31/2019
8806173434114,7965.780469,8,,12/31/2019
8806173435159,31863.12188,8,,12/31/2019
8806173433674,7965.780469,8,,12/31/2019
8806173433520,19914.45117,4,,12/31/2019
8806173431441,955893.6563,10,,12/31/2019
8806173437153,15542.12278,80,,12/31/2019
8806173437191,15542.12278,80,,12/31/2019
8806173434367,70098.86813,16,,12/31/2019
8806173437863,150553.2509,16,,12/31/2019
8806173437238,15542.12278,80,,12/31/2019
8806173436699,214279.4946,16,,12/31/2019
8806173425808,23897.34141,80,,12/31/2019
8806173420018,525741.5109,16,,12/31/2019
8806173429202,78861.22664,17,,12/31/2019
8806173425853,302699.6578,24,,12/31/2019
8806173425860,302699.6578,24,,12/31/2019
8806173420025,438117.9258,24,,12/31/2019
8806173428823,102758.568,24,,12/31/2019
8806173436668,182416.3727,16,,12/31/2019
8806173430765,26044.63875,8,,12/31/2019
8806173430789,55760.46328,5,,12/31/2019
8806173432356,27880.23164,8,,12/31/2019
8806173433827,23897.34141,8,,12/31/2019
8806173433957,14338.40484,8,,12/31/2019
8806173433964,11948.6707,8,,12/31/2019
8806173434107,11948.6707,8,,12/31/2019
8806173431458,7169.202422,200,,12/31/2019
8806173432936,46998.10477,20,,12/31/2019
8806173437573,159315.6094,16,,12/31/2019
8806173434398,86827.00711,16,,12/31/2019
8806173435005,102758.568,16,,12/31/2019
8806173440047,78861.22664,16,,12/31/2019
8806173438259,118690.129,13,,12/31/2019
8806173434947,102758.568,16,,12/31/2019
8806173440894,126655.9095,17,,12/31/2019
8806173440962,100368.8339,16,,12/31/2019
8806173437894,198347.9337,16,,12/31/2019
8806173433360,95589.36563,24,,12/31/2019
8806173437207,15542.12278,80,,12/31/2019
8806173433599,78861.22664,13,,12/31/2019
8806173433605,75432.47766,13,,12/31/2019
8806173437795,262870.7555,16,,12/31/2019
8806173436774,70098.86813,16,,12/31/2019
8806173434299,238973.4141,16,,12/31/2019
8806173433735,199144.5117,24,,12/31/2019
8806173436675,182416.3727,16,,12/31/2019
8806173436682,198347.9337,16,,12/31/2019
8806173438808,78861.22664,14,,12/31/2019
8806173433261,70098.86813,16,,12/31/2019
8806173422845,55760.46328,17,,12/31/2019
8806173424177,134621.6899,24,,12/31/2019
8806173425204,19914.45117,65,,12/31/2019
8806173431168,43811.79258,24,,12/31/2019
8806173431175,43811.79258,24,,12/31/2019
8806173420308,59743.35352,17,,12/31/2019
8806173420315,61336.50961,17,,12/31/2019
8806173424368,35846.01211,80,,12/31/2019
8806173419678,61336.50961,24,,12/31/2019
8806173424870,15931.56094,100,,12/31/2019
8806173424924,111520.9266,24,,12/31/2019
8806173427260,95589.36563,18,,12/31/2019
8806173438297,26287.07555,21,,12/31/2019
8806173438822,70098.86813,17,,12/31/2019
8806173432387,27455.39002,4,,12/31/2019
8806173438457,33279.26063,4,,12/31/2019
8806173439669,87277.24688,4,,12/31/2019
8806173437214,15542.12278,80,,12/31/2019
8806173433308,70098.86813,16,,12/31/2019
8806173433322,70098.86813,16,,12/31/2019
8806173433346,70098.86813,16,,12/31/2019
8806173437870,150553.2509,16,,12/31/2019
8806173440696,54963.88523,16,,12/31/2019
8806173436767,70098.86813,16,,12/31/2019
8806173433421,53336.09531,16,,12/31/2019
8806173438815,78861.22664,17,,12/31/2019
8806173416974,7576.342313,65,,12/31/2019
8806173425488,199144.5117,24,,12/31/2019
8806173423552,52574.15109,24,,12/31/2019
8806173422081,54963.88523,22,,12/31/2019
8806173425600,61336.50961,24,,12/31/2019
8806173417094,7576.342313,65,,12/31/2019
8806173424665,78861.22664,24,,12/31/2019
8806173438914,35049.43406,21,,12/31/2019
8806173433155,61336.50961,16,,12/31/2019
8806173433339,70098.86813,16,,12/31/2019
8806173440979,122673.0192,16,,12/31/2019
8806173433247,70098.86813,16,,12/31/2019
8806173434633,86827.00711,13,,12/31/2019
8806173435234,102758.568,8,,12/31/2019
8806173433230,70098.86813,16,,12/31/2019
8806173435982,126655.9095,10,,12/31/2019
8806173434404,62929.6657,16,,12/31/2019
8806173437221,15542.12278,80,,12/31/2019
8806173436477,78861.22664,16,,12/31/2019
8806173434886,95589.36563,16,,12/31/2019
8806173434893,95589.36563,16,,12/31/2019
8806173434213,78861.22664,24,,12/31/2019
8806173436064,398289.0234,16,,12/31/2019
8806173441204,199144.5117,6,,12/31/2019
8806173417049,7576.342313,80,,12/31/2019
8806173424146,118690.129,24,,12/31/2019
8806173424160,118690.129,24,,12/31/2019
8806173416264,95589.36563,24,,12/31/2019
8806173423576,78861.22664,24,,12/31/2019
8806173424436,39828.90234,80,,12/31/2019
8806173425471,118690.129,24,,12/31/2019
8806173423385,55760.46328,24,,12/31/2019
8806173426386,99572.25586,24,,12/31/2019
8806173426416,99572.25586,24,,12/31/2019
8806173420803,67709.13398,24,,12/31/2019
8806173420513,119486.707,24,,12/31/2019
8806173421633,63726.24375,24,,12/31/2019
8806173421596,111520.9266,24,,12/31/2019
8806173432776,15931.56094,8,,12/31/2019
8806173438723,572982.0525,3,,12/31/2019
8806173433759,14338.40484,8,,12/31/2019
8806173438310,26287.07555,24,,12/31/2019
8806173437245,15542.12278,80,,12/31/2019
8806173435951,477946.8281,16,,12/31/2019
8806173434206,78861.22664,24,,12/31/2019
8806173436620,118690.129,16,,12/31/2019
8806173419395,79657.80469,24,,12/31/2019
8806173429196,78861.22664,14,,12/31/2019
8806173423781,52574.15109,24,,12/31/2019
8806173423798,52574.15109,22,,12/31/2019
8806173423804,52574.15109,20,,12/31/2019
8806173424894,27880.23164,60,,12/31/2019
8806173424900,111520.9266,24,,12/31/2019
8806173419562,52574.15109,23,,12/31/2019
8806173424917,111520.9266,24,,12/31/2019
8806173429424,27880.23164,30,,12/31/2019
8806173430314,27880.23164,30,,12/31/2019
8806173435081,7958.084063,30,,12/31/2019
8806173435173,72731.03906,12,,12/31/2019
8806173435135,27880.23164,30,,12/31/2019
8806173435296,23897.34141,8,,12/31/2019
8806173438303,26287.07555,24,,12/31/2019
8806173439041,35049.43406,24,,12/31/2019
8806173441211,95589.36563,10,,12/31/2019
8806173435203,150553.2509,16,,12/31/2019
8806173435227,150553.2509,16,,12/31/2019
8806173436033,238973.4141,16,,12/31/2019
8806173417025,7576.342313,80,,12/31/2019
8806173417032,7576.342313,80,,12/31/2019
8806173417063,7576.342313,65,,12/31/2019
8806173417100,7576.342313,80,,12/31/2019
8806173424153,134621.6899,24,,12/31/2019
8806173425686,86827.00711,24,,12/31/2019
8806173424672,78861.22664,24,,12/31/2019
8806173423231,119486.707,12,,12/31/2019
8806173421626,79657.80469,24,,12/31/2019
8806173421572,111520.9266,20,,12/31/2019
8806173416967,7576.342313,80,,12/31/2019
8806173416981,7576.342313,80,,12/31/2019
8806173430758,11948.6707,8,,12/31/2019
8806173435180,27880.23164,8,,12/31/2019
8806173431892,23897.34141,45,,12/31/2019
8806173434282,262870.7555,24,,12/31/2019
8806173435197,150553.2509,16,,12/31/2019
8806173438273,150553.2509,13,,12/31/2019
8806173440283,79657.80469,16,,12/31/2019
8806173441631,119486.707,16,,12/31/2019
8806173441679,119486.707,16,,12/31/2019
8806173440917,122673.0192,16,,12/31/2019
8806173437399,55760.46328,13,,12/31/2019
8806173435753,79657.80469,16,,12/31/2019
8806173435760,79657.80469,16,,12/31/2019
8806173435777,79657.80469,16,,12/31/2019
8806173419692,61336.50961,15,,12/31/2019
8806173424344,23897.34141,80,,12/31/2019
8806173425198,19914.45117,64,,12/31/2019
8806173430260,78861.22664,9,,12/31/2019
8806173430277,78861.22664,18,,12/31/2019
8806173423354,55760.46328,24,,12/31/2019
8806173423392,55760.46328,24,,12/31/2019
8806173422074,54963.88523,22,,12/31/2019
8806173424351,35846.01211,80,,12/31/2019
8806173416394,62929.6657,24,,12/31/2019
8806173426430,99572.25586,24,,12/31/2019
8806173426447,99572.25586,24,,12/31/2019
8806173426454,99572.25586,24,,12/31/2019
8806173422203,95589.36563,18,,12/31/2019
8806173420858,63726.24375,24,,12/31/2019
8806173420889,63726.24375,24,,12/31/2019
8806173425167,19914.45117,24,,12/31/2019
8806173432349,23897.34141,8,,12/31/2019
8806173432295,18625.30313,8,,12/31/2019
8806173433933,15931.56094,8,,12/31/2019
8806173435128,19895.21016,30,,12/31/2019
8806173433940,14338.40484,8,,12/31/2019
8806173433797,23897.34141,8,,12/31/2019
8806173433926,23897.34141,6,,12/31/2019
8806173435142,7958.084063,120,,12/31/2019
8806173433704,27880.23164,8,,12/31/2019
8806173418961,47794.68281,24,,12/31/2019
8806173418985,47794.68281,24,,12/31/2019
8806173419036,79657.80469,18,,12/31/2019
8806173419043,79657.80469,18,,12/31/2019
8806173426324,143384.0484,24,,12/31/2019
8806173437368,71692.02422,15,,12/31/2019
8806173437054,79657.80469,16,,12/31/2019
8806173440665,54963.88523,16,,12/31/2019
8806173434954,102758.568,16,,12/31/2019
8806173440276,79657.80469,16,,12/31/2019
8806173437405,183212.9508,16,,12/31/2019
8806173437887,198347.9337,16,,12/31/2019
